,song_names,sentences
Hector's Hymn,Hector's Hymn,i rose from the ashes the remains of a time set aside
Hector's Hymn,Hector's Hymn,the warrior of eden found by honor these two words collide
Hector's Hymn,Hector's Hymn,on and on and on with glory he came he saw he conquered
Hector's Hymn,Hector's Hymn,he gathered his armies true he leads his templars of steel
Hector's Hymn,Hector's Hymn,they sought out the dragon made the enemy bleed made them kneel
Hector's Hymn,Hector's Hymn,on and on and on a legend unbent unbowed unbroken
Hector's Hymn,Hector's Hymn,on and on and on a story us born a legacy reborn
Hector's Hymn,Hector's Hymn,hammer high to the sky
Hector's Hymn,Hector's Hymn,follow the warrior and the king
Hector's Hymn,Hector's Hymn,call of hectors hymn
Hector's Hymn,Hector's Hymn,hammer high amplify
Hector's Hymn,Hector's Hymn,hail to the warrior
Hector's Hymn,Hector's Hymn,call of hectors hymn
Hector's Hymn,Hector's Hymn,along came the thunder and the hero was set to return
Hector's Hymn,Hector's Hymn,were haunted by fire our spirit is now set to burn
Hector's Hymn,Hector's Hymn,on and on and on the fire and the flame will burn forever
Hector's Hymn,Hector's Hymn,still guarded by templars all the secrets of steel will remain
Hector's Hymn,Hector's Hymn,cause we are the keepers and for us this is real not a game
Hector's Hymn,Hector's Hymn,on and on and on we follow this need we came we conquered
Hector's Hymn,Hector's Hymn,on and on and on together we fight together we will fall
Hector's Hymn,Hector's Hymn,hammer high to the sky
Hector's Hymn,Hector's Hymn,follow the warrior and the king
Hector's Hymn,Hector's Hymn,call of hectors hymn
Hector's Hymn,Hector's Hymn,hammer high amplify
Hector's Hymn,Hector's Hymn,hail to the warrior
Hector's Hymn,Hector's Hymn,call of hectors
Hector's Hymn,Hector's Hymn,call of hectors hymn
Hector's Hymn,Hector's Hymn,hammer high to the sky
Hector's Hymn,Hector's Hymn,follow the warrior and the king
Hector's Hymn,Hector's Hymn,call of hectors hymn
Hector's Hymn,Hector's Hymn,hammer high amplify
Hector's Hymn,Hector's Hymn,hail to the warrior
Hector's Hymn,Hector's Hymn,call of hectors
Hector's Hymn,Hector's Hymn,call of hectors hymn
Heeding the Call,Heeding the Call,a flash in the night a journey through time
Heeding the Call,Heeding the Call,the templars are back on the streets
Heeding the Call,Heeding the Call,guarded by prowess and the will to survive
Heeding the Call,Heeding the Call,all led by the guiding light
Heeding the Call,Heeding the Call,angels of mercy guardians of time
Heeding the Call,Heeding the Call,shackled and chained through the eternal flame
Heeding the Call,Heeding the Call,the hammer will slowly arise
Heeding the Call,Heeding the Call,heeding the call one and for all
Heeding the Call,Heeding the Call,never surrender with glory well fall
Heeding the Call,Heeding the Call,brothers unite lets stand up and fight
Heeding the Call,Heeding the Call,fulfilling our fate we are
Heeding the Call,Heeding the Call,heeding the call
Heeding the Call,Heeding the Call,one step ahead revealing the past
Heeding the Call,Heeding the Call,united together we stand
Heeding the Call,Heeding the Call,the call of the thunder the sign to begin
Heeding the Call,Heeding the Call,this final crusade we will win
Heeding the Call,Heeding the Call,angels of mercy our journey must proceed
Heeding the Call,Heeding the Call,with hearts all filled up with chivalry
Heeding the Call,Heeding the Call,the lifeblood that we all need
Heeding the Call,Heeding the Call,heeding the call one and for all
Heeding the Call,Heeding the Call,never surrender with glory well fall
Heeding the Call,Heeding the Call,brothers unite lets stand up and fight
Heeding the Call,Heeding the Call,fulfilling our fate we are heeding the call
Heeding the Call,Heeding the Call,oh oh oh 
Heeding the Call,Heeding the Call,heeding the call one and for all
Heeding the Call,Heeding the Call,never surrender with glory well fall
Heeding the Call,Heeding the Call,brothers unite lets stand up and fight
Heeding the Call,Heeding the Call,fulfilling our fate we are heeding the call
