,song_names,sentences
Fighting the World,Fighting the World,fight fight fight
Fighting the World,Fighting the World,fighting the world every single day 
Fighting the World,Fighting the World,fighting the world for the right to play
Fighting the World,Fighting the World,heavy metal in my brain
Fighting the World,Fighting the World,im fighting for metal cause its here to stay
Fighting the World,Fighting the World,fighting fighting fighting the world 
Fighting the World,Fighting the World,i been fighting the world
Fighting the World,Fighting the World,fighting fighting fighting the world
Fighting the World,Fighting the World,i been figthing
Fighting the World,Fighting the World,fight for a living fighting the world
Fighting the World,Fighting the World,fight for a living fighting the world
Fighting the World,Fighting the World,fight for a living fighting the world
Fighting the World,Fighting the World,fight 
Fighting the World,Fighting the World,now people keep asking if were going to change
Fighting the World,Fighting the World,i lookem in the eye
Fighting the World,Fighting the World,tellem no way
Fighting the World,Fighting the World,strips on a tiger dont wash away
Fighting the World,Fighting the World,manowars made of steel not clay
Fighting the World,Fighting the World,fightingfightingfighting the world
Fighting the World,Fighting the World,i been figthing the world
Fighting the World,Fighting the World,fightingfightingfighting the world
Fighting the World,Fighting the World,i been figthing
Fighting the World,Fighting the World,fight for a living fighting the world
Fighting the World,Fighting the World,fight for a living fighting the world
Fighting the World,Fighting the World,fight for a living fighting the world
Fighting the World,Fighting the World,fight yeah
Fighting the World,Fighting the World,see my brother standing by my side
Fighting the World,Fighting the World,only got one thing in our mind
Fighting the World,Fighting the World,radio playing this nation wide
Fighting the World,Fighting the World,turn it up loudertil we all get fried
Fighting the World,Fighting the World,fightingfightingfighting the world
Fighting the World,Fighting the World,i been figthing the world
Fighting the World,Fighting the World,fightingfightingfighting the world
Fighting the World,Fighting the World,i been figthing
Fighting the World,Fighting the World,fight fighting the world
Fighting the World,Fighting the World,fight fighting the world
Fighting the World,Fighting the World,fight fighting the world
Fighting the World,Fighting the World,fight fighting the world
Fighting the World,Fighting the World,fight for a living fighting the world
Blow Your Speakers,Blow Your Speakers,wrote a letter to the mtv 
Blow Your Speakers,Blow Your Speakers,whats goin on now
Blow Your Speakers,Blow Your Speakers,dont ya care about me
Blow Your Speakers,Blow Your Speakers,sent the same letter to the radio
Blow Your Speakers,Blow Your Speakers,but my party went dead
Blow Your Speakers,Blow Your Speakers,like a shot in the head
Blow Your Speakers,Blow Your Speakers,we all like it rock and roll
Blow Your Speakers,Blow Your Speakers,we all want it on your show
Blow Your Speakers,Blow Your Speakers,play it louddont play it low
Blow Your Speakers,Blow Your Speakers,blow your speakers with rock and roll
Blow Your Speakers,Blow Your Speakers,we got lots of stations
Blow Your Speakers,Blow Your Speakers,around the nation
Blow Your Speakers,Blow Your Speakers,and the stuff theyre playing
Blow Your Speakers,Blow Your Speakers,it just aint worth my sayin
Blow Your Speakers,Blow Your Speakers,people want music to getem movin
Blow Your Speakers,Blow Your Speakers,we dont want labels
Blow Your Speakers,Blow Your Speakers,we want music on the table
Blow Your Speakers,Blow Your Speakers,we all like it rock and roll
Blow Your Speakers,Blow Your Speakers,we all want it on your show
Blow Your Speakers,Blow Your Speakers,play it louddont play it low
Blow Your Speakers,Blow Your Speakers,blow your speakers with rock and roll
Blow Your Speakers,Blow Your Speakers,we all like it rock and roll
Blow Your Speakers,Blow Your Speakers,we all want it on your show
Blow Your Speakers,Blow Your Speakers,play it louddont play it low
Blow Your Speakers,Blow Your Speakers,blow your speakers with rock and roll
Blow Your Speakers,Blow Your Speakers,we got lots of stations
Blow Your Speakers,Blow Your Speakers,around the nation
Blow Your Speakers,Blow Your Speakers,and the stuff theyre playing
Blow Your Speakers,Blow Your Speakers,it just aint worth my sayin
Blow Your Speakers,Blow Your Speakers,we all like it rock and roll
Blow Your Speakers,Blow Your Speakers,we all want it on your show 
Blow Your Speakers,Blow Your Speakers,play it louddont play it low
Blow Your Speakers,Blow Your Speakers,blow your speakers with rock and roll
Perfect Strangers,Perfect Strangers,can you remember remember my name
Perfect Strangers,Perfect Strangers,as i flow through your life
Perfect Strangers,Perfect Strangers,a thousand oceans i have flown
Perfect Strangers,Perfect Strangers,and cold spirits of ice
Perfect Strangers,Perfect Strangers,all my life i am the echo of your past echo of your past
Perfect Strangers,Perfect Strangers,i am returning the echo of a point in time
Perfect Strangers,Perfect Strangers,distant faces shine
Perfect Strangers,Perfect Strangers,a thousand warriors i have known
Perfect Strangers,Perfect Strangers,and laughing as the spirits appear
Perfect Strangers,Perfect Strangers,all your all your life shadows of another day
Perfect Strangers,Perfect Strangers,and if you hear me talking on the wind
Perfect Strangers,Perfect Strangers,youve got to understand we must remain
Perfect Strangers,Perfect Strangers,perfect strangers
Perfect Strangers,Perfect Strangers,i know 
Perfect Strangers,Perfect Strangers,i know i must remain inside this silent well of sorrow
Perfect Strangers,Perfect Strangers,a strand of silver hanging through the sky
Perfect Strangers,Perfect Strangers,touching more than you see
Perfect Strangers,Perfect Strangers,the voice of ages in your mind
Perfect Strangers,Perfect Strangers,oh is aching with the dead of the night
Perfect Strangers,Perfect Strangers,oh oh precious life
Perfect Strangers,Perfect Strangers,your tears are lost in falling rain
Perfect Strangers,Perfect Strangers,and if you hear me talking on the wind
Perfect Strangers,Perfect Strangers,youve got to understand we must remain
Perfect Strangers,Perfect Strangers,perfect strangers
Outlaw,Outlaw,im a stranger in town and my guns never cold
Outlaw,Outlaw,im a gabler so bet on your life 
Outlaw,Outlaw,youll never live to grow old
Outlaw,Outlaw,i deal in lead i wont step aside
Outlaw,Outlaw,where troubles waitin well so am i
Outlaw,Outlaw,i live for the fight the thrill of the kill
Outlaw,Outlaw,paid in gold for the blood i spill
Outlaw,Outlaw,outlaw outlaw outlaw ride
Outlaw,Outlaw,into the west a gun by your side
Outlaw,Outlaw,hell and glory honor and pride
